customer_id,annual_income,monthly_income,employment_type,employment_duration_years,loan_amount,loan_term_months,interest_rate,loan_purpose,residential_status,existing_debt,existing_emi,credit_history_years,credit_utilization,total_credit_accounts,previous_delinquencies,default
CUST100029,1723600.0,143633.0,Business Owner,1.6,4402000.0,180.0,15.29,Home Loan,Rented,1122800.0,22995.0,5.0,37.6,1,0,0
CUST100030,1999100.0,166592.0,Professional,10.3,791000.0,36.0,14.55,Personal Loan,Rented,1989200.0,50410.0,1.1,23.7,3,0,0
CUST100031,478000.0,39833.0,Retired,20.3,416000.0,24.0,13.33,Business Loan,Rented,261800.0,22055.0,5.3,50.1,3,0,1
CUST100032,456700.0,38058.0,Salaried,1.9,233000.0,48.0,15.71,Vehicle Loan,Owned,297400.0,6694.0,0.6,68.7,3,0,0
CUST100033,393700.0,32808.0,Salaried,0.8,15000.0,24.0,17.98,Medical Expenses,Living with Family,204800.0,8341.0,0.9,97.3,8,0,0
CUST100034,730400.0,60867.0,Self-Employed,5.5,315000.0,60.0,17.06,Other,Owned,205300.0,18764.0,2.7,17.3,2,1,0
CUST100035,885200.0,73767.0,Salaried,8.6,1675000.0,180.0,8.81,Home Loan,Rented,440800.0,6510.0,0.0,35.0,3,0,0
CUST100036,562800.0,46900.0,Salaried,5.7,498000.0,12.0,11.06,Debt Consolidation,Owned,76100.0,13971.0,1.0,0.0,0,1,0
CUST100037,681800.0,56817.0,Self-Employed,5.7,101000.0,60.0,11.45,Medical Expenses,Owned,26000.0,19110.0,9.5,53.0,4,1,0
CUST100038,463400.0,38617.0,Salaried,3.6,218000.0,48.0,15.04,Personal Loan,Owned,221000.0,3981.0,0.7,8.0,5,1,0
CUST100039,503300.0,41942.0,Business Owner,0.1,179000.0,12.0,11.33,Medical Expenses,Living with Family,274400.0,6372.0,6.1,44.1,2,1,0
CUST100040,435100.0,36258.0,Self-Employed,0.3,154000.0,84.0,11.2,Vehicle Loan,Living with Family,298900.0,9261.0,7.7,65.2,3,1,0
CUST100041,974500.0,81208.0,Professional,0.6,859000.0,12.0,10.65,Business Loan,Rented,423800.0,5395.0,1.7,28.9,4,0,0
CUST100042,1730900.0,144242.0,Business Owner,1.3,1711000.0,36.0,13.96,Business Loan,Rented,724300.0,30513.0,3.4,17.5,6,0,0
CUST100043,387700.0,32308.0,Salaried,6.5,156000.0,12.0,15.03,Debt Consolidation,Living with Family,225800.0,6305.0,7.5,67.0,3,1,0
CUST100044,928900.0,77408.0,Professional,0.6,51000.0,24.0,9.12,Medical Expenses,Living with Family,279300.0,20555.0,0.5,53.6,0,0,0
CUST100045,424000.0,35333.0,Professional,0.3,140000.0,60.0,11.35,Medical Expenses,Rented,198900.0,15825.0,6.4,13.1,6,1,0
CUST100046,636300.0,53025.0,Salaried,1.2,1701000.0,120.0,7.0,Home Loan,Rented,16000.0,5910.0,8.1,41.1,3,1,0
CUST100047,805300.0,67108.0,Salaried,1.0,75000.0,36.0,7.0,Consumer Durable,Living with Family,42500.0,8484.0,10.6,19.2,1,1,0
CUST100048,1674700.0,139558.0,Business Owner,3.5,3861000.0,24.0,14.55,Business Loan,Living with Family,572000.0,48069.0,3.1,61.3,4,0,1
CUST100049,502900.0,41908.0,Salaried,0.2,169000.0,24.0,14.01,Medical Expenses,Owned,137500.0,20192.0,9.7,40.7,3,0,0
CUST100050,599300.0,49942.0,Salaried,2.3,207000.0,12.0,13.55,Debt Consolidation,Rented,159900.0,6270.0,3.5,71.6,3,0,0
CUST100051,410100.0,34175.0,Salaried,10.3,208000.0,24.0,18.08,Personal Loan,Owned,124900.0,1635.0,0.9,17.5,8,0,0
CUST100052,1190400.0,99200.0,Professional,4.9,5117000.0,180.0,7.64,Home Loan,Living with Family,973800.0,16398.0,4.5,43.0,5,0,1
CUST100053,888400.0,74033.0,Business Owner,14.7,128000.0,12.0,7.0,Medical Expenses,Rented,597400.0,26011.0,2.4,37.7,5,0,1
CUST100054,735000.0,61250.0,Business Owner,5.9,51000.0,48.0,9.41,Consumer Durable,Other,628300.0,3987.0,6.8,43.6,1,0,0
CUST100055,975800.0,81317.0,Professional,1.5,2245000.0,12.0,7.0,Business Loan,Owned,1008300.0,27409.0,4.0,25.5,3,0,1
CUST100056,680800.0,56733.0,Self-Employed,6.8,541000.0,36.0,11.04,Vehicle Loan,Rented,135600.0,13796.0,2.5,0.0,1,0,0
CUST100057,382300.0,31858.0,Self-Employed,7.3,48000.0,60.0,14.87,Personal Loan,Living with Family,99000.0,13600.0,2.6,52.9,2,0,0
CUST100058,387000.0,32250.0,Salaried,4.8,135000.0,36.0,13.95,Vehicle Loan,Living with Family,87300.0,16063.0,2.7,39.2,2,0,0
CUST100059,893900.0,74492.0,Salaried,6.8,3875000.0,300.0,16.29,Home Loan,Living with Family,152900.0,22457.0,8.9,19.7,3,0,1
CUST100060,2326300.0,193858.0,Business Owner,12.8,480000.0,36.0,14.19,Debt Consolidation,Owned,1064800.0,93917.0,2.1,27.0,4,0,0
CUST100061,90000.0,7500.0,Self-Employed,3.2,72000.0,60.0,11.71,Vehicle Loan,Other,57600.0,1842.0,2.6,12.3,3,0,0
CUST100062,90000.0,7500.0,Self-Employed,0.5,524000.0,300.0,11.32,Home Loan,Other,20100.0,527.0,4.3,0.0,3,0,1
CUST100063,373600.0,31133.0,Professional,2.3,259000.0,48.0,14.4,Vehicle Loan,Company Provided,113100.0,2541.0,2.9,60.9,4,1,0
CUST100064,638000.0,53167.0,Business Owner,0.5,28000.0,48.0,8.1,Consumer Durable,Rented,205900.0,15804.0,5.2,50.6,2,2,0
CUST100065,858300.0,71525.0,Self-Employed,18.7,833000.0,60.0,7.0,Education Loan,Living with Family,249100.0,4038.0,4.6,8.3,1,0,0
CUST100066,736500.0,61375.0,Self-Employed,0.5,372000.0,24.0,14.25,Personal Loan,Owned,196300.0,25728.0,7.8,93.5,2,0,0
CUST100067,494700.0,41225.0,Salaried,1.2,309000.0,60.0,13.75,Vehicle Loan,Owned,89400.0,9262.0,14.9,13.2,4,2,0
CUST100068,587500.0,48958.0,Salaried,4.4,424000.0,36.0,18.02,Vehicle Loan,Owned,103300.0,6024.0,13.1,53.7,1,0,0
CUST100069,223200.0,18600.0,Self-Employed,6.5,567000.0,120.0,15.23,Home Loan,Rented,36200.0,4219.0,1.5,38.1,7,0,1
CUST100070,386500.0,32208.0,Salaried,6.9,289000.0,24.0,13.99,Business Loan,Company Provided,44500.0,2004.0,0.7,10.2,4,2,0
CUST100071,444800.0,37067.0,Salaried,4.2,216000.0,48.0,12.0,Personal Loan,Rented,275100.0,6027.0,2.0,45.7,4,0,0
CUST100072,233200.0,19433.0,Government Employee,0.8,98000.0,60.0,10.4,Vehicle Loan,Rented,148900.0,2424.0,4.5,33.9,1,0,0
CUST100073,148100.0,12342.0,Salaried,2.6,59000.0,240.0,12.1,Home Loan,Living with Family,98800.0,3374.0,2.3,24.0,4,0,1
CUST100074,158400.0,13200.0,Salaried,10.9,83000.0,48.0,16.06,Vehicle Loan,Rented,34500.0,4053.0,5.2,67.0,3,1,1
CUST100075,648700.0,54058.0,Salaried,3.3,440000.0,36.0,14.48,Vehicle Loan,Rented,306200.0,20136.0,4.1,51.7,1,0,1
CUST100076,513800.0,42817.0,Salaried,0.1,1209000.0,12.0,15.99,Business Loan,Rented,411500.0,19597.0,4.7,53.8,3,0,1
CUST100077,1066600.0,88883.0,Business Owner,3.5,637000.0,24.0,13.34,Personal Loan,Rented,780300.0,7509.0,25.3,33.3,3,1,0
CUST100078,90000.0,7500.0,Self-Employed,0.1,324000.0,360.0,10.12,Home Loan,Rented,10800.0,1321.0,4.6,45.7,5,1,1
CUST100079,90000.0,7500.0,Professional,3.9,31000.0,60.0,16.71,Medical Expenses,Living with Family,11600.0,1690.0,8.4,37.4,4,0,0
CUST100080,1097900.0,91492.0,Business Owner,19.0,582000.0,12.0,16.42,Debt Consolidation,Rented,656000.0,7669.0,0.1,49.0,5,1,0
CUST100081,90000.0,7500.0,Salaried,3.2,36000.0,60.0,13.59,Personal Loan,Rented,61800.0,766.0,3.8,16.6,2,0,0
CUST100082,1573500.0,131125.0,Professional,4.2,507000.0,48.0,14.78,Personal Loan,Rented,863300.0,9735.0,7.8,0.0,3,1,0
CUST100083,90000.0,7500.0,Salaried,6.2,15000.0,12.0,14.6,Consumer Durable,Company Provided,39400.0,3183.0,3.4,67.8,7,1,0
CUST100084,669300.0,55775.0,Salaried,1.5,161000.0,36.0,11.5,Personal Loan,Rented,300400.0,17625.0,9.0,37.7,2,0,0
CUST100085,219000.0,18250.0,Salaried,0.5,48000.0,12.0,12.17,Consumer Durable,Living with Family,168900.0,4887.0,10.3,50.6,1,0,0
CUST100086,1476900.0,123075.0,Professional,4.6,15000.0,48.0,10.09,Medical Expenses,Rented,47600.0,36251.0,4.3,22.9,2,0,0
CUST100087,1783300.0,148608.0,Self-Employed,1.9,777000.0,48.0,12.16,Personal Loan,Owned,778300.0,19000.0,0.7,33.1,4,1,0
CUST100088,90000.0,7500.0,Salaried,4.0,36000.0,24.0,16.3,Personal Loan,Rented,32300.0,2142.0,10.1,71.4,3,0,0
CUST100089,778200.0,64850.0,Self-Employed,1.9,95000.0,48.0,15.69,Consumer Durable,Owned,596500.0,5505.0,6.4,46.0,4,1,0
CUST100090,90000.0,7500.0,Salaried,10.9,16000.0,24.0,14.79,Personal Loan,Owned,32200.0,4809.0,19.0,86.5,6,0,0
CUST100091,956100.0,79675.0,Business Owner,3.7,173000.0,48.0,16.07,Vehicle Loan,Owned,546300.0,11649.0,0.3,57.6,2,1,1
CUST100092,417300.0,34775.0,Self-Employed,4.2,184000.0,12.0,11.83,Personal Loan,Living with Family,135800.0,18632.0,0.9,23.3,3,0,0
CUST100093,483700.0,40308.0,Salaried,0.6,695000.0,120.0,9.25,Education Loan,Rented,73300.0,9179.0,0.0,47.7,5,1,1
CUST100094,213000.0,17750.0,Salaried,2.6,118000.0,12.0,12.5,Debt Consolidation,Rented,69300.0,10368.0,1.7,75.0,5,0,0
CUST100095,1168300.0,97358.0,Business Owner,5.0,1428000.0,120.0,12.75,Education Loan,Rented,159100.0,17328.0,5.6,42.8,7,1,0
CUST100096,90000.0,7500.0,Salaried,3.0,25000.0,60.0,15.16,Personal Loan,Rented,79500.0,1216.0,0.7,52.2,5,0,0
CUST100097,772800.0,64400.0,Salaried,1.4,528000.0,24.0,14.64,Vehicle Loan,Living with Family,304400.0,2091.0,1.3,69.1,3,2,0
CUST100098,343600.0,28633.0,Salaried,5.9,860000.0,12.0,16.23,Business Loan,Company Provided,68600.0,9034.0,1.2,0.0,5,0,1
CUST100099,90000.0,7500.0,Retired,21.7,27000.0,12.0,7.0,Personal Loan,Living with Family,20300.0,1730.0,2.9,53.4,5,1,0
CUST100100,869000.0,72417.0,Government Employee,0.9,372000.0,60.0,10.45,Medical Expenses,Owned,139600.0,26675.0,4.1,67.6,3,0,0
CUST100101,659600.0,54967.0,Business Owner,6.1,162000.0,36.0,12.71,Education Loan,Company Provided,137600.0,15572.0,3.6,21.1,1,1,0
CUST100102,946000.0,78833.0,Salaried,0.1,244000.0,48.0,14.53,Personal Loan,Living with Family,671500.0,34683.0,5.7,61.0,3,0,0
CUST100103,483200.0,40267.0,Retired,28.6,64000.0,60.0,19.7,Consumer Durable,Owned,72200.0,3148.0,2.9,37.9,1,0,0
CUST100104,461000.0,38417.0,Professional,6.7,2666000.0,180.0,9.87,Home Loan,Rented,463600.0,4389.0,0.5,0.8,5,1,1
CUST100105,649000.0,54083.0,Business Owner,0.2,229000.0,36.0,10.73,Personal Loan,Rented,35900.0,25841.0,1.7,55.4,2,0,0
CUST100106,548400.0,45700.0,Self-Employed,0.2,107000.0,12.0,11.65,Personal Loan,Living with Family,468500.0,14604.0,4.0,37.8,6,0,0
CUST100107,846800.0,70567.0,Salaried,1.8,4874000.0,360.0,10.61,Home Loan,Rented,180100.0,37215.0,2.6,36.4,1,0,1
CUST100108,563800.0,46983.0,Salaried,6.1,1888000.0,300.0,10.16,Home Loan,Owned,114800.0,21282.0,7.1,52.2,0,0,0
CUST100109,585300.0,48775.0,Government Employee,0.0,2515000.0,300.0,13.15,Home Loan,Owned,384300.0,6779.0,12.0,17.1,3,0,1
CUST100110,420000.0,35000.0,Self-Employed,6.5,84000.0,24.0,16.15,Medical Expenses,Rented,78500.0,5101.0,2.7,55.0,1,0,0
CUST100111,436900.0,36408.0,Salaried,14.4,418000.0,84.0,13.38,Education Loan,Rented,133700.0,12330.0,2.3,17.9,3,1,0
CUST100112,789200.0,65767.0,Salaried,2.3,210000.0,48.0,10.25,Personal Loan,Rented,161300.0,12555.0,1.2,71.3,1,2,1
CUST100113,501500.0,41792.0,Self-Employed,5.5,1721000.0,12.0,12.37,Business Loan,Owned,280400.0,9709.0,0.7,63.1,4,0,1
CUST100114,347300.0,28942.0,Salaried,13.4,859000.0,36.0,9.68,Business Loan,Rented,73200.0,3383.0,7.3,71.8,1,0,0
CUST100115,437100.0,36425.0,Government Employee,0.3,455000.0,24.0,16.15,Vehicle Loan,Other,143400.0,8297.0,0.9,48.2,3,2,0
CUST100116,595400.0,49617.0,Professional,6.4,85000.0,48.0,17.71,Other,Owned,46700.0,9922.0,0.7,28.7,2,0,0
CUST100117,90000.0,7500.0,Business Owner,0.7,118000.0,360.0,7.9,Home Loan,Rented,19600.0,1362.0,1.1,22.1,4,0,0
CUST100118,199800.0,16650.0,Self-Employed,4.4,61000.0,60.0,13.73,Personal Loan,Rented,15100.0,2201.0,5.2,20.8,7,2,0
CUST100119,1599100.0,133258.0,Business Owner,3.0,1163000.0,36.0,10.51,Personal Loan,Owned,593400.0,15528.0,1.6,34.2,2,2,0
CUST100120,417400.0,34783.0,Self-Employed,0.8,1300000.0,360.0,13.2,Home Loan,Living with Family,240200.0,16802.0,5.8,22.9,9,0,1
CUST100121,1122600.0,93550.0,Business Owner,0.8,969000.0,84.0,12.73,Vehicle Loan,Company Provided,254400.0,35002.0,0.5,45.1,1,0,0
CUST100122,90000.0,7500.0,Salaried,9.0,18000.0,36.0,8.71,Personal Loan,Rented,70600.0,903.0,0.7,20.3,1,0,0
CUST100123,597800.0,49817.0,Salaried,1.3,235000.0,36.0,16.87,Vehicle Loan,Rented,203900.0,3990.0,1.8,24.3,3,0,0
CUST100124,408000.0,34000.0,Salaried,5.3,196000.0,12.0,12.51,Debt Consolidation,Owned,73400.0,12560.0,0.8,29.6,5,0,0
CUST100125,307400.0,25617.0,Self-Employed,0.5,174000.0,48.0,11.5,Medical Expenses,Rented,115900.0,7078.0,10.0,20.9,3,0,0
CUST100126,497000.0,41417.0,Salaried,7.6,1188000.0,24.0,13.37,Business Loan,Owned,81300.0,5554.0,0.9,30.5,4,0,1
CUST100127,321100.0,26758.0,Salaried,2.2,15000.0,36.0,10.21,Business Loan,Rented,83000.0,5335.0,4.0,50.8,3,0,0
CUST100128,90000.0,7500.0,Salaried,5.6,180000.0,60.0,12.41,Business Loan,Owned,29500.0,618.0,8.9,18.6,3,0,0
CUST100129,868900.0,72408.0,Self-Employed,2.2,272000.0,24.0,7.12,Vehicle Loan,Rented,270900.0,5077.0,4.3,11.5,6,0,0
CUST100130,513200.0,42767.0,Salaried,0.6,1376000.0,180.0,7.0,Home Loan,Company Provided,51200.0,1713.0,6.6,34.1,2,0,0
CUST100131,487200.0,40600.0,Government Employee,10.8,2004000.0,240.0,9.9,Home Loan,Owned,36000.0,8543.0,3.1,12.9,5,2,1
CUST100132,113500.0,9458.0,Self-Employed,0.1,64000.0,48.0,11.3,Personal Loan,Living with Family,65700.0,3214.0,5.3,67.4,4,1,0
CUST100133,90000.0,7500.0,Salaried,10.2,84000.0,84.0,7.38,Vehicle Loan,Living with Family,30000.0,2128.0,0.6,22.6,6,0,0
CUST100134,589600.0,49133.0,Self-Employed,3.8,403000.0,84.0,11.41,Vehicle Loan,Owned,198500.0,9785.0,5.4,39.1,2,1,0
CUST100135,869500.0,72458.0,Salaried,2.9,349000.0,36.0,11.29,Personal Loan,Company Provided,18900.0,7183.0,9.4,48.0,3,1,0
CUST100136,330500.0,27542.0,Retired,28.8,182000.0,36.0,12.8,Personal Loan,Rented,39700.0,11710.0,5.0,10.2,2,0,0
CUST100137,90000.0,7500.0,Self-Employed,4.7,15000.0,36.0,14.97,Medical Expenses,Rented,46600.0,2271.0,1.1,19.4,6,1,0
CUST100138,1023800.0,85317.0,Professional,19.0,639000.0,12.0,18.48,Personal Loan,Rented,468100.0,14124.0,5.5,24.1,2,0,0
CUST100139,436100.0,36342.0,Salaried,10.0,1141000.0,300.0,14.37,Home Loan,Owned,154300.0,899.0,2.3,55.2,4,1,0
CUST100140,845600.0,70467.0,Self-Employed,6.1,329000.0,60.0,9.85,Personal Loan,Owned,154400.0,23503.0,4.1,78.3,2,0,0
CUST100141,742700.0,61892.0,Self-Employed,3.9,205000.0,48.0,15.13,Personal Loan,Rented,119800.0,34009.0,3.0,78.8,2,2,0
CUST100142,90000.0,7500.0,Government Employee,10.0,32000.0,24.0,17.48,Business Loan,Living with Family,20000.0,1375.0,8.6,66.0,1,0,1
CUST100143,718100.0,59842.0,Self-Employed,2.1,301000.0,60.0,9.42,Personal Loan,Company Provided,66900.0,4459.0,0.9,10.7,5,0,0
CUST100144,98600.0,8217.0,Self-Employed,0.4,373000.0,180.0,9.59,Home Loan,Rented,6300.0,1429.0,1.6,18.7,3,1,1
CUST100145,90000.0,7500.0,Salaried,0.5,25000.0,36.0,8.45,Other,Owned,9900.0,850.0,13.9,68.5,2,2,0
CUST100146,401000.0,33417.0,Salaried,8.6,225000.0,36.0,11.19,Vehicle Loan,Owned,249900.0,8792.0,3.2,71.6,4,0,0
CUST100147,664400.0,55367.0,Self-Employed,2.9,1003000.0,60.0,14.19,Education Loan,Company Provided,678900.0,5766.0,0.7,55.5,3,1,1
CUST100148,90000.0,7500.0,Self-Employed,4.5,160000.0,120.0,17.75,Education Loan,Owned,37200.0,3092.0,1.4,55.7,5,0,0
CUST100149,633200.0,52767.0,Salaried,0.9,341000.0,36.0,15.85,Personal Loan,Company Provided,362700.0,7200.0,0.3,28.6,2,0,0
CUST100150,1319800.0,109983.0,Professional,2.1,5059000.0,300.0,14.23,Home Loan,Owned,577200.0,16060.0,5.2,75.8,4,2,1
CUST100151,559400.0,46617.0,Government Employee,14.2,859000.0,360.0,13.15,Home Loan,Owned,296700.0,19778.0,0.8,21.9,5,0,0
CUST100152,224400.0,18700.0,Salaried,3.3,100000.0,12.0,14.25,Personal Loan,Owned,22000.0,8804.0,1.2,2.6,3,0,0
CUST100153,108200.0,9017.0,Self-Employed,1.7,49000.0,60.0,14.44,Personal Loan,Rented,46800.0,1119.0,14.3,55.6,5,0,0
CUST100154,716700.0,59725.0,Salaried,0.3,866000.0,36.0,17.17,Education Loan,Rented,126400.0,9941.0,0.1,25.2,1,0,0
CUST100155,90000.0,7500.0,Business Owner,1.6,16000.0,48.0,12.93,Personal Loan,Company Provided,33800.0,1919.0,2.7,9.4,7,0,0
CUST100156,726800.0,60567.0,Salaried,4.2,347000.0,36.0,13.84,Personal Loan,Rented,114900.0,41933.0,1.0,57.3,5,0,1
CUST100157,600900.0,50075.0,Business Owner,3.5,595000.0,36.0,11.69,Vehicle Loan,Owned,187800.0,9519.0,3.9,0.0,2,1,0
CUST100158,847300.0,70608.0,Professional,2.8,1966000.0,300.0,13.36,Home Loan,Rented,95800.0,41925.0,11.9,48.0,6,0,0
CUST100159,90000.0,7500.0,Professional,9.2,106000.0,120.0,12.18,Education Loan,Rented,34100.0,823.0,9.2,28.2,3,0,0
CUST100160,411900.0,34325.0,Salaried,2.9,94000.0,12.0,9.19,Personal Loan,Rented,131700.0,11596.0,1.8,73.2,5,0,0
CUST100161,672700.0,56058.0,Government Employee,0.9,879000.0,12.0,15.79,Business Loan,Living with Family,122600.0,20961.0,0.6,48.1,4,0,1
CUST100162,102500.0,8542.0,Salaried,1.6,27000.0,36.0,17.76,Debt Consolidation,Other,23700.0,3101.0,2.2,61.6,3,1,0
CUST100163,579600.0,48300.0,Salaried,7.0,297000.0,24.0,12.88,Vehicle Loan,Rented,102600.0,13922.0,4.4,14.1,5,0,0
CUST100164,535600.0,44633.0,Self-Employed,0.3,222000.0,24.0,14.06,Debt Consolidation,Rented,270100.0,17010.0,0.0,0.7,3,1,0
CUST100165,282600.0,23550.0,Salaried,10.7,1129000.0,240.0,15.76,Home Loan,Rented,122700.0,10604.0,5.3,30.0,3,1,1
CUST100166,1370100.0,114175.0,Professional,2.8,663000.0,36.0,12.54,Personal Loan,Rented,211600.0,27218.0,3.4,51.5,0,0,0
CUST100167,90000.0,7500.0,Professional,5.9,446000.0,300.0,13.61,Home Loan,Rented,20200.0,2654.0,13.1,39.6,3,2,1
CUST100168,540100.0,45008.0,Salaried,23.7,1468000.0,240.0,12.31,Home Loan,Owned,222400.0,16299.0,7.7,63.3,4,0,1
CUST100169,542900.0,45242.0,Retired,24.7,320000.0,12.0,11.24,Debt Consolidation,Owned,190600.0,6654.0,3.7,50.0,1,1,0
CUST100170,824400.0,68700.0,Salaried,2.5,1799000.0,300.0,14.67,Home Loan,Other,100800.0,46945.0,6.1,14.9,6,0,0
CUST100171,655900.0,54658.0,Self-Employed,0.2,2209000.0,180.0,14.64,Home Loan,Company Provided,84500.0,7523.0,2.7,48.2,3,1,1
CUST100172,371600.0,30967.0,Salaried,2.6,190000.0,12.0,15.95,Debt Consolidation,Owned,219800.0,13875.0,0.4,41.8,3,2,0
CUST100173,422800.0,35233.0,Government Employee,3.3,89000.0,48.0,12.99,Personal Loan,Other,200800.0,3989.0,1.9,66.0,2,2,0
CUST100174,371200.0,30933.0,Salaried,1.9,417000.0,60.0,9.16,Education Loan,Living with Family,212700.0,5541.0,0.2,17.6,2,1,0
CUST100175,591400.0,49283.0,Salaried,4.5,1959000.0,300.0,16.54,Home Loan,Owned,277000.0,2045.0,0.3,23.4,7,1,1
CUST100176,177100.0,14758.0,Self-Employed,0.3,19000.0,48.0,10.65,Consumer Durable,Company Provided,53000.0,1611.0,1.7,46.7,3,0,0
CUST100177,501500.0,41792.0,Other,8.8,268000.0,12.0,10.59,Personal Loan,Company Provided,511000.0,7419.0,1.6,69.1,2,1,1
CUST100178,976600.0,81383.0,Government Employee,4.0,991000.0,60.0,11.3,Business Loan,Rented,493900.0,18291.0,2.6,33.6,1,1,0
CUST100179,866000.0,72167.0,Professional,2.6,704000.0,36.0,7.42,Vehicle Loan,Living with Family,537100.0,26181.0,10.9,51.1,6,1,0
CUST100180,281100.0,23425.0,Government Employee,2.2,52000.0,48.0,12.3,Consumer Durable,Rented,125500.0,2855.0,1.5,38.8,2,0,0
CUST100181,281100.0,23425.0,Government Employee,5.4,162000.0,48.0,14.98,Other,Rented,116500.0,3139.0,14.8,37.1,1,1,0
CUST100182,810600.0,67550.0,Self-Employed,4.7,180000.0,12.0,11.61,Medical Expenses,Living with Family,323800.0,25322.0,5.2,63.3,2,0,0
CUST100183,434500.0,36208.0,Salaried,0.4,89000.0,12.0,17.28,Personal Loan,Rented,120200.0,8518.0,3.9,40.4,2,0,0
CUST100184,1382300.0,115192.0,Professional,5.5,584000.0,84.0,17.08,Vehicle Loan,Rented,596200.0,20093.0,3.8,28.3,2,0,1
